0.388063	4.88812e-05	0.388063	4.145711732e-05	
0.392423	4.55265e-05	0.392423	3.754908995e-05	
0.396772	4.26388e-05	0.396772	3.40184947e-05	
0.401107	3.95872e-05	0.401107	3.083223537e-05	
0.405427	3.7047e-05	0.405427	2.795890131e-05	
0.409735	3.45486e-05	0.409735	2.536801117e-05	
0.414029	3.24551e-05	0.414029	2.303543924e-05	
0.418307	3.01692e-05	0.418307	2.093932658e-05	
0.422573	2.83734e-05	0.422573	1.905735414e-05	
0.426824	2.66826e-05	0.426824	1.737270229e-05	
0.43106	2.51886e-05	0.43106	1.586891276e-05	
0.435282	2.35213e-05	0.435282	1.453090575e-05	
0.43949	2.21673e-05	0.43949	1.334547216e-05	
0.443681	2.10758e-05	0.443681	1.230137454e-05	
0.447859	1.98399e-05	0.447859	1.138670337e-05	
0.452022	1.86696e-05	0.452022	1.059204904e-05	
0.456167	1.77728e-05	0.456167	9.908778243e-06	
0.460299	1.67754e-05	0.460299	9.327680629e-06	
0.464416	1.60139e-05	0.464416	8.84139795e-06	
0.468515	1.52745e-05	0.468515	8.443028717e-06	
0.472599	1.44568e-05	0.472599	8.125511401e-06	
0.476668	1.40013e-05	0.476668	7.882582337e-06	
0.480719	1.32089e-05	0.480719	7.70843913e-06	
0.484756	1.25545e-05	0.484756	7.597269919e-06	
0.488776	1.20745e-05	0.488776	7.543820139e-06	
0.492777	1.14497e-05	0.492777	7.542923522e-06	
0.496764	1.08595e-05	0.496764	7.589670963e-06	
0.500734	1.0487e-05	0.500734	7.679357235e-06	
0.504685	1.00027e-05	0.504685	7.807372897e-06	
0.508621	9.60106e-06	0.508621	7.96949067e-06	
0.51254	9.3763e-06	0.51254	8.161464499e-06	
0.51644	8.99223e-06	0.51644	8.379147645e-06	
0.520324	8.67439e-06	0.520324	8.618829785e-06	
0.52419	8.39768e-06	0.52419	8.876677744e-06	
0.528037	8.09751e-06	0.528037	9.149052335e-06	
0.531867	7.97674e-06	0.531867	9.432691403e-06	
0.53568	7.6999e-06	0.53568	9.724362745e-06	
0.539473	7.37079e-06	0.539473	1.00207591e-05	
0.543249	7.03802e-06	0.543249	1.031920612e-05	
0.547007	6.98851e-06	0.547007	1.061689034e-05	
0.550745	6.84797e-06	0.550745	1.091109224e-05	
0.554465	6.59006e-06	0.554465	1.119958609e-05	
0.558167	6.45454e-06	0.558167	1.148016386e-05	
0.561849	6.37862e-06	0.561849	1.175065054e-05	
0.565513	6.2407e-06	0.565513	1.200934958e-05	
0.569158	6.06249e-06	0.569158	1.225452241e-05	
0.572782	5.87172e-06	0.572782	1.248456088e-05	
0.576388	5.69925e-06	0.576388	1.26983536e-05	
0.579975	5.61437e-06	0.579975	1.289470061e-05	
0.58354	5.59991e-06	0.58354	1.307249492e-05	
0.587087	5.44692e-06	0.587087	1.323115238e-05	
0.590615	5.4092e-06	0.590615	1.336998202e-05	
0.594121	5.37419e-06	0.594121	1.34884064e-05	
0.597608	5.20318e-06	0.597608	1.358621615e-05	
0.601075	5.26152e-06	0.601075	1.366319687e-05	
0.604521	5.16693e-06	0.604521	1.371929123e-05	
0.607947	4.93205e-06	0.607947	1.375460628e-05	
0.611352	5.00733e-06	0.611352	1.376934003e-05	
0.614736	4.95281e-06	0.614736	1.376381871e-05	
0.6181	4.89652e-06	0.6181	1.37384581e-05	
0.621441	5.03398e-06	0.621441	1.369380702e-05	
0.624765	4.8401e-06	0.624765	1.363036795e-05	
0.628066	4.84346e-06	0.628066	1.354891181e-05	
0.631345	4.81633e-06	0.631345	1.345017708e-05	
0.634603	4.63632e-06	0.634603	1.333493572e-05	
0.637839	4.62379e-06	0.637839	1.320407239e-05	
0.641055	4.74004e-06	0.641055	1.305838758e-05	
0.644247	4.64701e-06	0.644247	1.289898947e-05	
0.647419	4.52662e-06	0.647419	1.272662918e-05	
0.650569	4.52287e-06	0.650569	1.254236958e-05	
0.653696	4.54204e-06	0.653696	1.234725206e-05	
0.656801	4.50245e-06	0.656801	1.214219983e-05	
