-14.1	0.001255615606	-14.1	0.0004123551432	
-14	0.001255615606	-14	0.0004123551432	
-13.9	0.001255615606	-13.9	0.0004123551432	
-13.8	0.001255615606	-13.8	0.0004123551432	
-13.7	0.001255615606	-13.7	0.0004123551432	
-13.6	0.001255615606	-13.6	0.0004123551432	
-13.5	0.001255615606	-13.5	0.0004123551432	
-13.4	0.001255615606	-13.4	0.0004123551432	
-13.3	0.001255615606	-13.3	0.0004123551432	
-13.2	0.001255615606	-13.2	0.0004123551432	
-13.1	0.001255615606	-13.1	0.0004123551432	
-13	0.001255615606	-13	0.0004123551432	
-12.9	0.001255615606	-12.9	0.0004123551432	
-12.8	0.001255615606	-12.8	0.0004123551432	
-12.7	0.001255615606	-12.7	0.0004123551432	
-12.6	0.001255615606	-12.6	0.0004123551432	
